Date,Description,Category,Vendor,Amount,Notes
04/08/2026,Flight to NYC,Travel,Delta Airlines,$1245.00,Q2 planning offsite
2026-04-08,Uber to airport,Travel,Uber,$38.50,
April 8 2026,Airport lunch,Meals,Chili's,$22.15,layover meal
4/8/26,Hotel check-in,travel,Marriott,$289.00,2 nights
04/09/2026,Breakfast meeting,meals & entertainment,Starbucks,$47.80,team breakfast w/ client
2026-04-09,Uber to office,TRAVEL,uber,$24.00,
04/09/2026,Breakfast meeting,Meals,Starbucks,$47.80,client breakfast
April 9 2026,Office supplies,Office,Staples,$156.32,printer paper and toner
4/10/26,Client dinner,Meals,The Capital Grille,$312.50,dinner with Acme Corp
2026-04-10,Uber back to hotel,Travel,Uber,$18.75,
04/10/2026,Conference registration,Training,TechCrunch Disrupt,$899.00,early bird ticket
,Taxi to restaurant,Travel,Yellow Cab,$15.00,no receipt - estimated
04/11/2026,Hotel checkout,Business Travel,Marriott,$289.00,2 nights
2026-04-11,Flight home,Travel,Delta Airlines,1245.00,return flight
April 11 2026,Airport snacks,Food,Hudson News,$8.45,
4/12/26,Monthly software,Software,Notion,$16.00,team plan
04/12/2026,Weekly team lunch,Meals,Chipotle,$89.50,team of 6
2026-04-13,Uber to coworking,Travel,UBER,$12.00,
04/14/2026,Client gift basket,,GiftBasketsPlus,$125.00,thank you for Acme deal
2026-04-14,Printing for presentation,Office,FedEx Office,$45.20,50 color copies
April 14 2026,Working lunch,meals,Panera Bread,$18.90,
04/15/2026,Monthly phone bill,Phone,T-Mobile,$85.00,business line
4/15/26,Cloud hosting,Software,AWS,$234.67,monthly infrastructure
2026-04-15,Taxi to client site,,Yellow Cab,$22.00,
04/16/2026,Team coffee run,Meals,Starbacks,$36.75,morning standup treat
2026-04-16,Uber to airport,Travel,Uber,$42.00,Chicago trip
April 16 2026,Flight to Chicago,Travel,United Airlines,$567.00,customer visit
4/17/26,Hotel Chicago,Travel,Hilton,$199.00,1 night
04/17/2026,Client dinner Chicago,meals & entertainment,Gibson's Steakhouse,$278.90,dinner w/ prospect
2026-04-17,Flight to Chicago,travel,United Airlines,567.00,customer visit duplicate?
04/18/2026,Uber from ORD,Travel,Uber,$28.50,
April 18 2026,Coworking day pass,Office,WeWork,$45.00,Chicago location
4/18/26,Working lunch Chicago,,Portillo's,$14.25,
04/19/2026,Flight home from Chicago,Travel,United Airlines,$489.00,return
2026-04-19,Monthly CRM,Software,HubSpot,450.00,annual plan / 12
,Parking at airport,Travel,LAX Parking,$62.00,4 days
04/20/2026,Team celebration dinner,Meals,Nobu,$520.00,Q2 kickoff dinner
2026-04-20,Uber home from dinner,Travel,uber,$35.00,late night
